loc_rowid,pl_name,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,sy_dist,sy_disterr1,sy_disterr2
975,HD 29985 b,Radial Velocity,2022,20608.14049000,4708.95644000,-7737.11195000,0,13.390000,2.071000,-3.680000,0,12.800,,,0,1739.47487,617.85842,-367.72747,0,0.261000,0.144000,-0.169000,0,,,,,,,,,4678.00,122.98,-107.02,0,0.57,0.04,-0.04,0,0.75,0.09,-0.09,0,-0.846,0.019,-0.013,0,31.2707000,0.0217000,-0.0217000
976,HD 30177 b,Radial Velocity,2002,2514.53422000,5.21645000,-4.34065000,0,3.604000,0.135000,-0.147000,0,12.600,,,0,2670.71210,394.42505,-155.41809,0,0.207000,0.012000,-0.017000,0,,,,,,,,,5580.00,12.00,-12.00,0,1.02,0.03,-0.03,0,0.98,0.12,-0.12,0,0.083,0.010,-0.010,0,55.5867000,0.1270000,-0.1264000
977,HD 30177 c,Radial Velocity,2016,12085.45186000,583.05318000,-440.70332000,0,10.258000,0.535000,-0.480000,0,12.700,,,0,1954.64470,415.71956,-108.37949,0,0.039000,0.005000,-0.013000,0,,,,,,,,,5580.00,12.00,-12.00,0,1.18,0.02,-0.02,0,0.98,0.12,-0.12,0,0.084,0.001,-0.001,0,55.5867000,0.1270000,-0.1264000
978,HD 30562 b,Radial Velocity,2009,1157.00000000,27.00000000,-27.00000000,0,2.340000,0.060000,-0.060000,0,13.600,,,0,467.20776,143.02278,-57.20911,0,0.760000,0.050000,-0.050000,0,,,,,,,,,5882.00,10.00,-10.00,0,1.61,0.03,-0.03,0,1.12,0.07,-0.07,0,0.450,0.030,-0.030,0,26.1597000,0.0564000,-0.0563000
979,HD 30669 b,Radial Velocity,2014,1684.00000000,61.00000000,-61.00000000,0,2.690000,0.080000,-0.080000,0,14.300,,,0,149.37000,19.07000,-19.07000,0,0.180000,0.150000,-0.150000,0,,,,,,,,,5400.00,74.00,-74.00,0,0.91,0.04,-0.04,0,0.92,0.03,-0.03,0,-0.146,0.001,-0.001,0,58.0844000,0.0878000,-0.0876000
980,HD 30856 b,Radial Velocity,2011,847.00000000,20.00000000,-20.00000000,0,1.850000,0.130000,-0.130000,0,13.500,,,0,491.68301,28.92253,-28.92253,0,0.061000,0.058000,-0.058000,0,,,,,,,,,4895.00,,,0,4.40,,,0,1.17,,,0,0.996,0.021,-0.023,0,131.1990000,0.5490000,-0.5490000
981,HD 31253 b,Radial Velocity,2010,466.00000000,3.00000000,-3.00000000,0,1.260000,0.020000,-0.020000,0,14.100,,,0,197.05460,38.13960,-38.13960,0,0.300000,0.200000,-0.200000,0,,,,,,,,,6130.00,22.00,-22.00,0,1.75,0.04,-0.04,0,1.70,0.25,-0.25,0,0.517,0.058,-0.066,0,58.1438000,0.1507000,-0.1498000
982,HD 31527 b,Radial Velocity,2019,16.55350000,0.00340000,-0.00350000,0,0.125400,0.004100,-0.004500,0,3.220,,,0,10.47000,0.89000,-0.87000,0,0.100000,0.050000,-0.050000,0,,,,,,,,,5898.00,13.00,-13.00,0,1.07,0.01,-0.02,0,0.96,,,0,0.079,0.011,-0.011,0,38.4473000,0.0408000,-0.0408000
983,HD 31527 c,Radial Velocity,2019,51.20530000,0.03730000,-0.03680000,0,0.266300,0.008800,-0.009500,0,3.850,,,0,14.16000,1.28000,-1.23000,0,0.040000,0.050000,-0.030000,0,,,,,,,,,5898.00,13.00,-13.00,0,1.07,0.01,-0.02,0,0.96,,,0,0.079,0.011,-0.011,0,38.4473000,0.0408000,-0.0408000
984,HD 31527 d,Radial Velocity,2019,271.67370000,2.11350000,-2.24710000,0,0.809800,0.027300,-0.029300,0,3.460,,,0,11.82000,1.70000,-1.64000,0,0.240000,0.130000,-0.130000,0,,,,,,,,,5898.00,13.00,-13.00,0,1.07,0.01,-0.02,0,0.96,,,0,0.079,0.011,-0.011,0,38.4473000,0.0408000,-0.0408000
985,HD 3167 b,Transit,2016,0.95964100,0.00001100,-0.00001100,0,0.017960,0.000370,-0.000310,0,1.670,0.170,-0.100,0,4.97000,0.24000,-0.23000,0,0.000000,,,0,1650.00,110.00,-110.00,0,1774,29,-29,0,5261.00,60.00,-60.00,0,0.88,0.01,-0.01,0,0.84,0.05,-0.04,0,-0.270,0.024,-0.026,0,47.2899000,0.1485000,-0.1475000
986,HD 3167 c,Transit,2016,29.84540000,0.00120000,-0.00120000,0,0.177600,0.003700,-0.003100,0,3.000,0.450,-0.210,0,11.13000,0.78000,-0.74000,0,0.060000,,,1,16.90,1.10,-1.10,0,564,9,-9,0,5261.00,60.00,-60.00,0,0.88,0.01,-0.01,0,0.84,0.05,-0.04,0,-0.270,0.024,-0.026,0,47.2899000,0.1485000,-0.1475000
987,HD 3167 d,Radial Velocity,2017,8.41120000,0.00520000,-0.00520000,0,0.076300,0.001500,-0.001500,0,1.920,,,0,4.33000,0.45000,-0.45000,0,0.120000,,,1,88.90,6.20,-6.20,0,860,13,-13,0,5261.00,60.00,-60.00,0,0.88,0.01,-0.01,0,0.84,0.05,-0.04,0,-0.270,0.024,-0.026,0,47.2899000,0.1485000,-0.1475000
